CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60010000,Fortaleza/CE,Moura Brasil,Avenida Presidente Castelo Branco - até 1999/2000,
60010010,Fortaleza/CE,Moura Brasil,Rua Senador Jaguaribe,
60010011,Fortaleza/CE,Moura Brasil,Rua Trilho de Ferro,
60010020,Fortaleza/CE,Moura Brasil,Rua Braga Torres,
60010030,Fortaleza/CE,Moura Brasil,Vila Valença,
60010040,Fortaleza/CE,Moura Brasil,Rua dos Navegantes,
60010043,Fortaleza/CE,Moura Brasil,Travessa Carmem,
60010060,Fortaleza/CE,Moura Brasil,Travessa Santo Inácio III,
60010070,Fortaleza/CE,Moura Brasil,Travessa Santo Inácio II,
60010080,Fortaleza/CE,Moura Brasil,Travessa Santo Inácio I,
60010090,Fortaleza/CE,Moura Brasil,Rua Santo Inácio,
60010100,Fortaleza/CE,Moura Brasil,Rua Padre Mororó - até 349/350,
60010110,Fortaleza/CE,Moura Brasil,Rua São Januário,
60010112,Fortaleza/CE,Moura Brasil,Rua Verde Mar,
60010120,Fortaleza/CE,Moura Brasil,Rua do Trilho,
60010122,Fortaleza/CE,Moura Brasil,Praça Araripe Júnior,
60010130,Fortaleza/CE,Moura Brasil,Rua Adarias de Lima,
60010140,Fortaleza/CE,Moura Brasil,Travessa Balança Rvc,
60010150,Fortaleza/CE,Moura Brasil,Rua ABC,
60010160,Fortaleza/CE,Moura Brasil,Rua Valdelice,
60010161,Fortaleza/CE,Moura Brasil,Travessa Merce,
60010170,Fortaleza/CE,Moura Brasil,Travessa da Saudade,
60010180,Fortaleza/CE,Moura Brasil,Rua Caucaia,
60010190,Fortaleza/CE,Moura Brasil,Rua Cedro,
60010200,Fortaleza/CE,Moura Brasil,Beco da Saudade,
60010210,Fortaleza/CE,Moura Brasil,Travessa Senador Jaguaribe,
60010220,Fortaleza/CE,Moura Brasil,Travessa João Felipe,
60010230,Fortaleza/CE,Moura Brasil,Rua dos Moinhos,
60010240,Fortaleza/CE,Centro,Rua Tijubana,
60010250,Fortaleza/CE,Centro,Rua Agapito dos Santos,
60010252,Fortaleza/CE,Centro,Vila Carmita,
60010260,Fortaleza/CE,Centro,Rua Conselheiro Estelita,
60010262,Fortaleza/CE,Centro,Vila Jerônimo Lopes,
60010270,Fortaleza/CE,Centro,Rua Oto de Alencar,
60010280,Fortaleza/CE,Jacarecanga,Avenida Filomeno Gomes - até 593/594,
60010281,Fortaleza/CE,Jacarecanga,Avenida Filomeno Gomes - de 595/596 ao fim,
60010320,Fortaleza/CE,Jacarecanga,Travessa Francisco Sá,
60010340,Fortaleza/CE,Jacarecanga,Avenida Tenente Lisboa - até 999/1000,
60010390,Fortaleza/CE,Jacarecanga,Rua Maria Luiza,
60010400,Fortaleza/CE,Jacarecanga,Rua Messias Filomeno,
60010410,Fortaleza/CE,Jacarecanga,Rua Dona Bela,
60010420,Fortaleza/CE,Jacarecanga,Rua Maria Isabel,
60010430,Fortaleza/CE,Jacarecanga,Rua Hélio Caracas,
60010436,Fortaleza/CE,Jacarecanga,Rua Monsenhor Dantas - até 2398/2399,
60010440,Fortaleza/CE,Jacarecanga,Rua Adolfo Campelo,
60010442,Fortaleza/CE,Jacarecanga,Rua São Paulo - de 1801/1802 ao fim,
60010447,Fortaleza/CE,Jacarecanga,Vila Ecilândia,
60010450,Fortaleza/CE,Jacarecanga,Avenida Francisco Sá - até 2399/2400,
60010460,Fortaleza/CE,Jacarecanga,Rua Caririaçu - até 298/299,
